,URL,Lastmod,Title,Description
0,https://ntrs.nasa.gov/citations/20205001069,2023-08-03,Volatile chemical product emissions enhance ozone and modulate urban chemistry,"Decades of air quality improvements have substantially reduced the motor vehicle emissions of volatile organic compounds (VOCs). Today, volatile chemical products (VCPs) are responsible for half of the petrochemical VOCs emitted in major urban areas. We show that VCP emissions are ubiquitous in US and European cities and scale with population density. We report significant VCP emissions for New York City (NYC), including a monoterpene flux of 14.7 to 24.4 kg ⋅ d−1 ⋅ km−2 from fragranced VCPs and other anthropogenic sources, which is comparable to that of a summertime forest. Photochemical modeling of an extreme heat event, with ozone well in excess of US standards, illustrates the significant impact of VCPs on air quality. In the most populated regions of NYC, ozone was sensitive to anthropogenic VOCs (AVOCs), even in the presence of biogenic sources. Within this VOC-sensitive regime, AVOCs contributed upwards of ∼20 ppb to maximum 8-h average ozone. VCPs accounted for more than 50% of this total AVOC contribution. Emissions from fragranced VCPs, including personal care and cleaning products, account for at least 50% of the ozone attributed to VCPs. We show that model simulations of ozone depend foremost on the magnitude of VCP emissions and that the addition of oxygenated VCP chemistry impacts simulations of key atmospheric oxidation products. NYC is a case study for developed megacities, and the impacts of VCPs on local ozone are likely similar for other major urban regions across North America or Europe."
1,https://ntrs.nasa.gov/citations/20205001711,2023-08-03,"Phase Diagram, Melt Growth and Characterization of Cd0.8Zn0.2Te Crystals for X-Ray Detector","In this study, the solidus curve of the Cd0.8Zn0.2Te homogeneity range was constructed from the partial pressure measurements by optical absorption technique which provided the information of the melt growth parameters to process crystals with the required electrical resistivity. The melt growth of Cd0.8Zn0.2Te crystals were then processed by directional solidification under controlled Cd overpressure. During the growth experiments, several procedures have been developed to improve the crystalline quality: (1) minimizing the contamination of impurities (2) improving the structural defects and (3) minimizing the Te-precipitates within the grown crystals to enhance charge transport properties. Additionally, the thermal conductivity, electrical conductivity, and Seebeck coefficient of a vapor-grown CdTe and two melt-grown Cd0.8Zn0.2Te crystals were measured between 190oC and 780oC to provide an in-depth understanding of the thermal and electrical conduction mechanisms of the crystals as well as the prospect of its thermoelectric applications."
2,https://ntrs.nasa.gov/citations/20205002597,2023-08-03,Assessment and Improvement of RANS-based Transition Models based on Experimental Data of the Common Research Model with Natural Laminar Flow,"Transition models based on auxiliary transport equations augmenting the Reynolds-averaged Navier-Stokes (RANS) framework often rely upon the correlations that were derived from a limited number of low-speed experiments and do not account for all of the transition mechanisms and/or their variation with the significant flow parameters. Available data from a recent experiment in the National Transonic Facility at the NASA Langley Research Center are used to assess the current transition modeling capability in NASA's OVERFLOW 2.2o code for a swept wing configuration at transonic cruise conditions. Specifically, the OVERFLOW solutions are used together with detailed stability analysis of the boundary layer flow over the new Common Research Model with Natural Laminar Flow (CRM-NLF) to evaluate the accuracy and the robustness of the transport-equation-based transition models, with the goal of proposing improvements that would help to strengthen the physical basis of these models for the important class of flows involving the combined effects of crossflow and flow compressibility. Results highlight the significant underprediction of the laminar flow extent within the inboard region of the wing, wherein the onset of transition may be attributed to a gradual amplification of Tollmien-Schlichting instabilities."
3,https://ntrs.nasa.gov/citations/20205002632,2023-08-03,A Computational Analysis of Boundary Layer Instability over the BOLT Configuration,"The complex boundary layer flow over the BOLT flight configuration is known to exhibit multiple and potentially interacting instability mechanisms. This paper represents a continuation of our numerical investigation of the flow instabilities over the main test surface of the BOLT configuration by using state-of-the-art tools in multidimensional instability analysis. Specifically, the paper extends our previous computations by considering the separate effects of a nonzero angle-of-attack and a nonzero yaw on the modal instability characteristics of the boundary layer streaks adjacent to the minor-axis symmetry plane. At a selected condition from the ascent part of the anticipated flight trajectory, either type of departure from the design condition is shown to have a considerable impact on the structure of the laminar basic state and, hence, also on the amplification characteristics of the instability waves. A broader set of computations, including N-factor predictions for the relevant instabilities, will be presented in the final paper."
4,https://ntrs.nasa.gov/citations/20205003825,2023-08-03,Non-Monotonic Response of the Climate System to Abrupt CO2 Forcing,"We explore the climate system response to abrupt CO2 forcing, spanning the range 1 × to 8×CO2, with two state-of-the-art coupled atmosphere-ocean-sea-ice-land models: the NASA Goddard Institute for Space Studies Model E2.1-G (GISS-E2.1-G) and the Community Earth System Model (CESM-LE). We find that the effective climate sensitivity is a non-monotonic function of CO2 in both models, reaching a minimum at 3×CO2 for GISS-E2.1-G, and 4×CO2 for CESM-LE. A similar non-monotonic response is found in Northern Hemisphere surface temperature, sea-ice, precipitation, the latitude of zero precipitation minus-evaporation, and the strength of the Hadley cell. Interestingly, the Atlantic meridional overturning circulation collapses when non-monotonicity appears and does not recover for larger CO2 forcings. Analyzing the climate response over the same CO2 range with slab ocean versions of the same models, we demonstrate that the climate system's non-monotonic response is linked to ocean dynamics."
5,https://ntrs.nasa.gov/citations/20205004667,2023-08-03,Grain export restrictions during COVID-19 risk food insecurity in many low and middle income countries,"Global food security is threatened by the effects of COVID-19 on international agricultural supply chains and locusts destroying crops and livelihoods in the Horn of Africa and South Asia. We quantify the possible impacts on global supplies and prices of wheat, rice and maize. We show that local production declines have moderate impacts on global prices and supply – but trade restrictions and precautionary purchases by a few key actors could create global food price spikes and severe local food shortages."
6,https://ntrs.nasa.gov/citations/20205004283,2023-08-03,Tropical Cyclones in Global Storm-Resolving Models,"Recent progress in computing and model development has initiated the era of global storm-resolving modeling, and with it the potential to transform weather and climate prediction. Within the general theme of vetting this new class of models, the present study evaluates nine global-storm resolving models in their ability to simulate tropical cyclones (TCs). Results indicate that, broadly speaking, the models produce realistic TCs and remove longstanding issues known from global models such as the deficiency in accurately simulating TC intensity. However, TCs are strongly affected by model formulation, and all models suffer from unique biases regarding the number of TCs, intensity, size, and structure. Some models simulated TCs better than others, but no single model was superior in every way. The overall results indicate that global storm-resolving models can open a new chapter in TC prediction, but they need to be improved to unleash their full potential."
7,https://ntrs.nasa.gov/citations/20205004477,2023-08-03,A Study into Validating a Coupled Method of Characteristics and Direct Simulation Monte Carlo Method Against Empirical Data,"The following will outline the methodology and results of validating a coupled Method of Characteristics (MOC) and Direct Simulation Monte Carlo (DSMC) method. This research focused specifically on modeling plume impingement, induced by Reaction Control System (RCS) thrusters that flew on the National Aeronautics and Space Administration’s (NASA’s) space shuttle Discovery. For each simulation, the continuum portion of the RCS thruster was simulated using MOC for solving hyperbolic Partial Differential Equations (PDEs) and computed with the NASA code, Reacting and Multi-phase Program (RAMP). The solution was then implemented as a starting condition into the NASA DSMC code, Direct Simulation and Monte Carlo Analysis Code (DAC). Typically, DSMC models rely on code-to-code validation for fidelity. The significance of this research is in its ability to validate its models against empirical data. Prior to computing solutions for these simulations, the mesh size and structure were optimized and many variants of DSMC input parameters were iterated on in order to acquire a reliable, mesh-independent, fully optimized numerical solution. This research will discuss the mathematical formulation of MOC for nozzle flow and DSMC for rarefied gases. Additionally, it will provide an explanation of how to implement these mathematical concepts into the two solvers: RAMP and DAC. Ultimately, this research will demonstrate that the overall process illustrated produces results in good agreement with empirical data. As a consequence, the methodology presented is granted an increased level of confidence and will greatly contribute to the aerospace industry and its effort in understanding and predicting rarefied flow fields."
8,https://ntrs.nasa.gov/citations/20205007039,2023-08-03,Time-Critical Coordination of UAS with Non-Ideal Autopilots under Lossy Communication Networks,"In this presentation we will explore several distributed consensus algorithms developed to maintain coordination among a fleet of heterogeneous UAS subject to external disturbances. An overview of the network assumptions and autopilot performance bounds required to meet the coordination objective will be provided. In particular, we will leverage passivity-based stability conditions for bidirectional networks that require the communication graph to be connected in an integral sense, but may fail to connect pointwise in time during the entire mission. Non-ideal autopilots that can only track a desired speed profile with a prescribed precision induce an error in vehicle coordination. The autopilot performance bounds will be propagated through the coordination dynamics to understand the limits introduced by autopilots."
9,https://ntrs.nasa.gov/citations/20205007285,2023-08-03,"Bioinspired Honeycomb Core Design: An Experimental Study of the Role of Corner Radius, Coping, and Interface","The honeybee’s nest has inspired the design of engineering honeycomb core that primarily abstract the hexagonal cell shape and exploit its mass minimizing properties to construct lightweight panels. This work explored three additional design features that are part of the natural honeybee comb but have not been traditionally considered as design features of interest in honeycomb design: the radius at the corner of each cell, the coping at the top of the cell walls, and the interface between cell arrays. These features were first characterized in natural honeycomb using optical and X-ray techniques, and then incorporated into honeycomb core design, and fabricated using an additive manufacturing process. The honeycomb cores were then tested in out-of-plane compression and bending, and since all three design features added mass to the overall structure, all metrics were examined per unit mass to assess performance gains. The study concluded that the addition of an interface increases specific flexural modulus but has little benefit in out-of-plane compression; coping radius positively impacts specific flexural strength; but that the corner radius has no significant effect in bending, and actually is slightly detrimental for out-of-plane compression testing."
